## commandLine options:
## {'ConfigFileName': 'SkemaMON.cfg'}
## Config used
# [Filter]
# outputdateformat = %Y-%m-%d
# class = 11OIT1bH2
# inputdateformat = %Y-%m-%d
# subject = Networking
# [SkemaScraper2012]
# year = 2012
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 4
# inputdateformat = %d-%m-%Y
# firstweek = 1
# [ExportTextDefault]
# outputdateformat = %Y-%m-%d
# template = Date: $Date; StartTime: $StartTime; EndTime: $EndTime; Location: $Location; Class: $Class; Subject: $Subject;
# [SkemaScraper]
# year = 2011
# teacherid = 5421
# outputdateformat = %Y-%m-%d
# lastweek = 52
# inputdateformat = %d-%m-%Y
# firstweek = 33
# [ExportText]
# outputdateformat = %Y-%m-%d
# inputdateformat = %Y-%m-%d
# template = $EventCount $StartTime ($Multiplicity) $Class $Subject
#

Date: 2011-11-07; StartTime: 2011-11-07 08:30:00; EndTime: 2011-11-07 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-07; StartTime: 2011-11-07 09:15:00; EndTime: 2011-11-07 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-07; StartTime: 2011-11-07 10:20:00; EndTime: 2011-11-07 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-07; StartTime: 2011-11-07 11:05:00; EndTime: 2011-11-07 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-07; StartTime: 2011-11-07 12:30:00; EndTime: 2011-11-07 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-08; StartTime: 2011-11-07 13:15:00; EndTime: 2011-11-07 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-08; StartTime: 2011-11-08 08:10:00; EndTime: 2011-11-08 08:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-08; StartTime: 2011-11-08 08:55:00; EndTime: 2011-11-08 09:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-08; StartTime: 2011-11-08 10:10:00; EndTime: 2011-11-08 10:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-08; StartTime: 2011-11-08 10:55:00; EndTime: 2011-11-08 11:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-08; StartTime: 2011-11-08 12:10:00; EndTime: 2011-11-08 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-08; StartTime: 2011-11-08 12:55:00; EndTime: 2011-11-08 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-08; StartTime: 2011-11-08 14:00:00; EndTime: 2011-11-08 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-09; StartTime: 2011-11-08 14:45:00; EndTime: 2011-11-08 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-09; StartTime: 2011-11-09 08:30:00; EndTime: 2011-11-09 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-09; StartTime: 2011-11-09 09:15:00; EndTime: 2011-11-09 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-09; StartTime: 2011-11-09 10:20:00; EndTime: 2011-11-09 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-11; StartTime: 2011-11-09 11:05:00; EndTime: 2011-11-09 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-11; StartTime: 2011-11-11 08:30:00; EndTime: 2011-11-11 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-11; StartTime: 2011-11-11 09:15:00; EndTime: 2011-11-11 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-11; StartTime: 2011-11-11 10:20:00; EndTime: 2011-11-11 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-14; StartTime: 2011-11-11 11:05:00; EndTime: 2011-11-11 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-14; StartTime: 2011-11-14 08:30:00; EndTime: 2011-11-14 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-14; StartTime: 2011-11-14 09:15:00; EndTime: 2011-11-14 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-14; StartTime: 2011-11-14 10:20:00; EndTime: 2011-11-14 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-15; StartTime: 2011-11-14 11:05:00; EndTime: 2011-11-14 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-15; StartTime: 2011-11-15 08:30:00; EndTime: 2011-11-15 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-15; StartTime: 2011-11-15 09:15:00; EndTime: 2011-11-15 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-15; StartTime: 2011-11-15 10:20:00; EndTime: 2011-11-15 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-17; StartTime: 2011-11-15 11:05:00; EndTime: 2011-11-15 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-17; StartTime: 2011-11-17 08:30:00; EndTime: 2011-11-17 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-17; StartTime: 2011-11-17 09:15:00; EndTime: 2011-11-17 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-17; StartTime: 2011-11-17 10:20:00; EndTime: 2011-11-17 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-18; StartTime: 2011-11-17 11:05:00; EndTime: 2011-11-17 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-18; StartTime: 2011-11-18 08:30:00; EndTime: 2011-11-18 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-18; StartTime: 2011-11-18 09:15:00; EndTime: 2011-11-18 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-18; StartTime: 2011-11-18 10:20:00; EndTime: 2011-11-18 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-21; StartTime: 2011-11-18 11:05:00; EndTime: 2011-11-18 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-21; StartTime: 2011-11-21 08:30:00; EndTime: 2011-11-21 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-21; StartTime: 2011-11-21 09:15:00; EndTime: 2011-11-21 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-21; StartTime: 2011-11-21 10:20:00; EndTime: 2011-11-21 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-22; StartTime: 2011-11-21 11:05:00; EndTime: 2011-11-21 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-22; StartTime: 2011-11-22 08:30:00; EndTime: 2011-11-22 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-22; StartTime: 2011-11-22 09:15:00; EndTime: 2011-11-22 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-22; StartTime: 2011-11-22 10:20:00; EndTime: 2011-11-22 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-23; StartTime: 2011-11-22 11:05:00; EndTime: 2011-11-22 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-23; StartTime: 2011-11-23 08:10:00; EndTime: 2011-11-23 08:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-23; StartTime: 2011-11-23 08:55:00; EndTime: 2011-11-23 09:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-23; StartTime: 2011-11-23 10:10:00; EndTime: 2011-11-23 10:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-23; StartTime: 2011-11-23 10:55:00; EndTime: 2011-11-23 11:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-23; StartTime: 2011-11-23 12:10:00; EndTime: 2011-11-23 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-23; StartTime: 2011-11-23 12:55:00; EndTime: 2011-11-23 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-23; StartTime: 2011-11-23 14:00:00; EndTime: 2011-11-23 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-24; StartTime: 2011-11-23 14:45:00; EndTime: 2011-11-23 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-11-24; StartTime: 2011-11-24 10:20:00; EndTime: 2011-11-24 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-24; StartTime: 2011-11-24 11:05:00; EndTime: 2011-11-24 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-24; StartTime: 2011-11-24 12:30:00; EndTime: 2011-11-24 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-25; StartTime: 2011-11-24 13:15:00; EndTime: 2011-11-24 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-25; StartTime: 2011-11-25 08:30:00; EndTime: 2011-11-25 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-25; StartTime: 2011-11-25 09:15:00; EndTime: 2011-11-25 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-25; StartTime: 2011-11-25 10:20:00; EndTime: 2011-11-25 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-28; StartTime: 2011-11-25 11:05:00; EndTime: 2011-11-25 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-28; StartTime: 2011-11-28 08:30:00; EndTime: 2011-11-28 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-28; StartTime: 2011-11-28 09:15:00; EndTime: 2011-11-28 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-11-28; StartTime: 2011-11-28 10:20:00; EndTime: 2011-11-28 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-28; StartTime: 2011-11-28 11:05:00; EndTime: 2011-11-28 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-11-28; StartTime: 2011-11-28 12:30:00; EndTime: 2011-11-28 13:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-30; StartTime: 2011-11-28 13:15:00; EndTime: 2011-11-28 14:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-30; StartTime: 2011-11-30 08:30:00; EndTime: 2011-11-30 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-30; StartTime: 2011-11-30 09:15:00; EndTime: 2011-11-30 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-11-30; StartTime: 2011-11-30 10:20:00; EndTime: 2011-11-30 11:05:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-12-01; StartTime: 2011-11-30 11:05:00; EndTime: 2011-11-30 11:50:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-12-01; StartTime: 2011-12-01 12:30:00; EndTime: 2011-12-01 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-12-02; StartTime: 2011-12-01 13:15:00; EndTime: 2011-12-01 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-12-02; StartTime: 2011-12-02 08:30:00; EndTime: 2011-12-02 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-12-02; StartTime: 2011-12-02 09:15:00; EndTime: 2011-12-02 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-12-02; StartTime: 2011-12-02 10:20:00; EndTime: 2011-12-02 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-05; StartTime: 2011-12-02 11:05:00; EndTime: 2011-12-02 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-05; StartTime: 2011-12-05 08:10:00; EndTime: 2011-12-05 08:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-05; StartTime: 2011-12-05 08:55:00; EndTime: 2011-12-05 09:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-05; StartTime: 2011-12-05 10:10:00; EndTime: 2011-12-05 10:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-05; StartTime: 2011-12-05 10:55:00; EndTime: 2011-12-05 11:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-05; StartTime: 2011-12-05 12:10:00; EndTime: 2011-12-05 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-05; StartTime: 2011-12-05 12:55:00; EndTime: 2011-12-05 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-05; StartTime: 2011-12-05 14:00:00; EndTime: 2011-12-05 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-05 14:45:00; EndTime: 2011-12-05 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-06 08:10:00; EndTime: 2011-12-06 08:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-06 08:55:00; EndTime: 2011-12-06 09:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-06 10:10:00; EndTime: 2011-12-06 10:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-06 10:55:00; EndTime: 2011-12-06 11:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-06 12:10:00; EndTime: 2011-12-06 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-06 12:55:00; EndTime: 2011-12-06 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-06; StartTime: 2011-12-06 14:00:00; EndTime: 2011-12-06 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-07; StartTime: 2011-12-06 14:45:00; EndTime: 2011-12-06 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-07; StartTime: 2011-12-07 08:30:00; EndTime: 2011-12-07 09:15:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-12-07; StartTime: 2011-12-07 09:15:00; EndTime: 2011-12-07 10:00:00; Location: b-1.44; Class: 11OIT3bH2; Subject: Project 2; 
Date: 2011-12-07; StartTime: 2011-12-07 10:20:00; EndTime: 2011-12-07 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-07; StartTime: 2011-12-07 11:05:00; EndTime: 2011-12-07 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-07; StartTime: 2011-12-07 12:30:00; EndTime: 2011-12-07 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-08; StartTime: 2011-12-07 13:15:00; EndTime: 2011-12-07 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-08; StartTime: 2011-12-08 08:10:00; EndTime: 2011-12-08 08:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-08; StartTime: 2011-12-08 08:55:00; EndTime: 2011-12-08 09:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-08; StartTime: 2011-12-08 10:10:00; EndTime: 2011-12-08 10:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-08; StartTime: 2011-12-08 10:55:00; EndTime: 2011-12-08 11:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-08; StartTime: 2011-12-08 12:10:00; EndTime: 2011-12-08 12:55:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-08; StartTime: 2011-12-08 12:55:00; EndTime: 2011-12-08 13:40:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-08; StartTime: 2011-12-08 14:00:00; EndTime: 2011-12-08 14:45:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-09; StartTime: 2011-12-08 14:45:00; EndTime: 2011-12-08 15:30:00; Location: ; Class: ; Subject: Akt:; 
Date: 2011-12-09; StartTime: 2011-12-09 08:30:00; EndTime: 2011-12-09 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-09; StartTime: 2011-12-09 09:15:00; EndTime: 2011-12-09 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-09; StartTime: 2011-12-09 10:20:00; EndTime: 2011-12-09 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-12; StartTime: 2011-12-09 11:05:00; EndTime: 2011-12-09 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-12; StartTime: 2011-12-12 08:30:00; EndTime: 2011-12-12 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-12-12; StartTime: 2011-12-12 09:15:00; EndTime: 2011-12-12 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: System Design; 
Date: 2011-12-12; StartTime: 2011-12-12 10:20:00; EndTime: 2011-12-12 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-12; StartTime: 2011-12-12 11:05:00; EndTime: 2011-12-12 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-12; StartTime: 2011-12-12 12:30:00; EndTime: 2011-12-12 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-13; StartTime: 2011-12-12 13:15:00; EndTime: 2011-12-12 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-13; StartTime: 2011-12-13 08:30:00; EndTime: 2011-12-13 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-13; StartTime: 2011-12-13 09:15:00; EndTime: 2011-12-13 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-13; StartTime: 2011-12-13 12:30:00; EndTime: 2011-12-13 13:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-16; StartTime: 2011-12-13 13:15:00; EndTime: 2011-12-13 14:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-16; StartTime: 2011-12-16 08:30:00; EndTime: 2011-12-16 09:15:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-16; StartTime: 2011-12-16 09:15:00; EndTime: 2011-12-16 10:00:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Networking; 
Date: 2011-12-16; StartTime: 2011-12-16 10:20:00; EndTime: 2011-12-16 11:05:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
Date: 2011-12-30; StartTime: 2011-12-16 11:05:00; EndTime: 2011-12-16 11:50:00; Location: b-1.55; Class: 11OIT1bH2; Subject: Project Network; 
