# [SkemaScraper]
# teacherid = 5421
# firstweek = 4
# lastweek = 27
# year = 2012
# inputdateformat = %d-%m-%Y
# outputdateformat = %Y-%m-%d
# [ExportIcs]
# outfile = MON_2012S.ics
# inputdateformat = %Y-%m-%d
#

Date: 2012-02-13; StartTime: 2012-02-13 12:30:00; EndTime: 2012-02-13 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-14; StartTime: 2012-02-13 13:15:00; EndTime: 2012-02-13 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-14; StartTime: 2012-02-14 10:20:00; EndTime: 2012-02-14 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-02-14; StartTime: 2012-02-14 11:05:00; EndTime: 2012-02-14 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-02-14; StartTime: 2012-02-14 12:30:00; EndTime: 2012-02-14 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-17; StartTime: 2012-02-14 13:15:00; EndTime: 2012-02-14 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-17; StartTime: 2012-02-17 08:30:00; EndTime: 2012-02-17 09:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-17; StartTime: 2012-02-17 09:15:00; EndTime: 2012-02-17 10:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-17; StartTime: 2012-02-17 10:20:00; EndTime: 2012-02-17 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-27; StartTime: 2012-02-17 11:05:00; EndTime: 2012-02-17 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-02-27; StartTime: 2012-02-27 12:30:00; EndTime: 2012-02-27 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-28; StartTime: 2012-02-27 13:15:00; EndTime: 2012-02-27 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-02-28; StartTime: 2012-02-28 12:30:00; EndTime: 2012-02-28 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-03-02; StartTime: 2012-02-28 13:15:00; EndTime: 2012-02-28 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-03-02; StartTime: 2012-03-02 08:30:00; EndTime: 2012-03-02 09:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-02; StartTime: 2012-03-02 09:15:00; EndTime: 2012-03-02 10:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-02; StartTime: 2012-03-02 10:20:00; EndTime: 2012-03-02 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-05; StartTime: 2012-03-02 11:05:00; EndTime: 2012-03-02 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-05; StartTime: 2012-03-05 12:30:00; EndTime: 2012-03-05 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-03-06; StartTime: 2012-03-05 13:15:00; EndTime: 2012-03-05 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-03-06; StartTime: 2012-03-06 12:30:00; EndTime: 2012-03-06 13:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-03-09; StartTime: 2012-03-06 13:15:00; EndTime: 2012-03-06 14:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: System Design; Teacher: mon; 
Date: 2012-03-09; StartTime: 2012-03-09 08:30:00; EndTime: 2012-03-09 09:15:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-09; StartTime: 2012-03-09 09:15:00; EndTime: 2012-03-09 10:00:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-09; StartTime: 2012-03-09 10:20:00; EndTime: 2012-03-09 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-28; StartTime: 2012-03-09 11:05:00; EndTime: 2012-03-09 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Project 1; Teacher: mon; 
Date: 2012-03-28; StartTime: 2012-03-28 08:30:00; EndTime: 2012-03-28 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-10; StartTime: 2012-03-28 09:15:00; EndTime: 2012-03-28 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-10; StartTime: 2012-04-10 08:30:00; EndTime: 2012-04-10 09:15:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-10; StartTime: 2012-04-10 09:15:00; EndTime: 2012-04-10 10:00:00; Location: b-1.44; Class: 12OIT4bS1; Subject: Counselling; Teacher: mon; 
Date: 2012-04-10; StartTime: 2012-04-10 10:20:00; EndTime: 2012-04-10 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-16; StartTime: 2012-04-10 11:05:00; EndTime: 2012-04-10 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-16; StartTime: 2012-04-16 10:20:00; EndTime: 2012-04-16 11:05:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
Date: 2012-04-17; StartTime: 2012-04-16 11:05:00; EndTime: 2012-04-16 11:50:00; Location: b-1.55; Class: 12OIT2bH1; Subject: Networking; Teacher: mon; 
